episode,level,total_reward,steps_taken,treasures_collected,final_score,lives_remaining,epsilon,duration_sec,avg_reward_100,avg_treasures_100,walls_hit,explored_cells,hint_accuracy
120,hard,309.97,115,1,0,0,0.02,9.98,443.75,1.52,25,32,61.74
121,hard,549.82,191,2,35,0,0.02,19.89,442.45,1.52,54,63,58.12
122,hard,196.36,44,1,5,0,0.02,4.55,440.11,1.51,3,18,59.09
123,hard,317.96,86,1,0,0,0.02,9.82,440.27,1.51,5,44,54.65
124,hard,555.8,185,2,40,0,0.02,16.07,442.12,1.52,28,61,52.97
125,hard,307.24,94,1,-10,0,0.02,7.67,443.13,1.52,15,35,56.38
126,hard,408.47,57,2,10,0,0.02,4.87,440.6,1.53,1,30,66.67
127,hard,379.18,134,1,-20,0,0.02,14.38,441.7,1.53,20,55,52.99
128,hard,448.36,112,2,15,0,0.02,9.89,444.42,1.54,28,52,59.82
129,hard,490.47,110,2,0,0,0.02,10.14,445.86,1.55,22,43,62.73
130,hard,381.47,128,1,5,0,0.02,10.55,445.58,1.55,21,58,53.91
131,hard,308.78,72,1,-10,0,0.02,6.07,443.3,1.55,5,36,59.72
132,hard,369.98,119,1,5,0,0.02,10.2,443.52,1.55,22,56,61.34
133,hard,524.41,104,2,5,0,0.02,9.95,445.66,1.56,5,51,58.65
134,hard,363.98,102,1,-20,0,0.02,8.97,443.86,1.56,15,60,55.88
135,hard,231.75,68,1,5,0,0.02,6.3,441.75,1.56,17,30,58.82
136,hard,253.52,74,1,0,0,0.02,8.37,440.14,1.56,10,33,56.76
137,hard,238.69,46,1,-5,0,0.02,4.58,437.11,1.55,8,30,65.22
138,hard,565.16,129,2,35,0,0.02,12.65,438.25,1.55,21,66,60.47
139,hard,230.18,69,1,0,0,0.02,6.16,432.36,1.53,22,31,65.22
140,hard,85.97,52,0,-55,0,0.02,6.03,430.13,1.52,6,26,48.08
141,hard,282.76,93,1,0,0,0.02,13.18,428.96,1.52,9,28,60.22
142,hard,268.72,85,1,-5,0,0.02,8.91,428.82,1.52,12,32,50.59
143,hard,254.62,73,1,10,0,0.02,6.88,427.18,1.52,8,26,54.79
144,hard,294.59,114,1,0,0,0.02,9.68,427.03,1.52,34,36,69.3
145,hard,371.65,128,1,10,0,0.02,10.7,425.21,1.51,11,46,50.0
146,hard,451.48,108,2,-5,0,0.02,9.23,419.48,1.5,19,44,57.41
147,hard,373.33,46,2,30,0,0.02,4.88,418.81,1.51,7,28,76.09
148,hard,427.84,218,1,0,0,0.02,19.93,415.53,1.49,77,56,58.72
149,hard,573.73,95,3,75,0,0.02,7.74,417.95,1.51,25,49,57.89
150,hard,478.58,241,2,60,0,0.02,17.99,418.85,1.52,116,63,38.59
151,hard,608.78,220,2,10,0,0.02,15.52,422.46,1.53,34,65,52.73
152,hard,509.44,164,2,-10,0,0.02,11.81,424.84,1.54,48,48,63.41
153,hard,526.43,240,2,5,0,0.02,15.54,425.06,1.54,82,45,54.17
154,hard,275.89,135,1,0,0,0.02,9.44,425.27,1.54,51,32,58.52
155,hard,476.34,259,1,-20,0,0.02,16.94,426.22,1.53,62,50,51.74
156,hard,312.11,89,1,-5,0,0.02,7.0,422.69,1.52,11,40,55.06
157,hard,1450.91,461,5,125,0,0.02,32.53,434.0,1.56,91,123,57.27
158,hard,1324.46,385,5,105,0,0.02,25.62,442.99,1.6,93,115,57.4
159,hard,924.33,352,3,75,0,0.02,24.71,446.13,1.61,67,91,50.85
160,hard,302.65,91,1,5,0,0.02,5.76,446.59,1.61,6,38,57.14
161,hard,297.33,82,1,-20,0,0.02,5.21,445.77,1.61,11,43,57.32
162,hard,477.62,209,2,35,0,0.02,14.75,445.76,1.62,58,46,42.11
163,hard,322.53,92,1,-25,0,0.02,7.74,446.67,1.62,19,54,54.35
164,hard,487.23,149,2,15,0,0.02,12.03,447.64,1.63,49,60,57.72
165,hard,239.33,58,1,5,0,0.02,4.65,445.5,1.62,8,27,63.79
166,hard,500.06,97,2,45,0,0.02,6.36,446.81,1.63,8,46,64.95
167,hard,362.94,52,2,40,0,0.02,3.45,445.38,1.63,7,28,71.15
168,hard,462.64,100,2,20,0,0.02,6.4,444.69,1.63,17,44,61.0
169,hard,397.94,77,2,15,0,0.02,5.37,444.05,1.63,12,38,61.04
