episode,level,total_reward,steps_taken,treasures_collected,final_score,lives_remaining,epsilon,duration_sec,avg_reward_100,avg_treasures_100,walls_hit,explored_cells,hint_accuracy
110,medium,923.0,114,5,140,0,0.03,2.65,797.7,4.14,8,54,65.79
111,medium,559.75,69,3,55,0,0.03,1.67,799.57,4.15,5,35,62.32
112,medium,1048.25,93,5,275,2,0.03,2.49,803.04,4.16,5,55,70.97
113,medium,1096.45,135,5,220,1,0.03,3.94,804.26,4.16,5,59,65.19
114,medium,1066.84,104,5,280,4,0.03,3.95,809.96,4.18,10,58,67.31
115,medium,1067.95,99,5,240,5,0.03,2.4,815.18,4.2,5,56,70.71
116,medium,523.84,67,3,55,0,0.03,1.66,815.45,4.2,10,34,71.64
117,medium,967.62,90,5,265,2,0.03,2.31,814.63,4.2,14,46,76.67
118,medium,468.74,39,3,90,0,0.03,1.05,813.95,4.2,1,20,66.67
119,medium,1069.47,94,5,255,4,0.03,2.04,814.45,4.2,6,56,74.47
120,medium,1040.69,93,5,285,3,0.03,1.88,814.47,4.2,5,59,72.04
121,medium,1044.17,105,5,260,2,0.03,2.72,814.71,4.2,11,50,66.67
122,medium,495.34,45,3,45,0,0.03,1.31,809.64,4.18,0,28,73.33
123,medium,513.79,54,3,65,0,0.03,1.44,810.49,4.18,4,26,68.52
124,medium,1138.88,137,5,290,7,0.03,2.71,816.29,4.2,7,60,64.96
125,medium,1107.43,181,5,265,4,0.03,4.32,816.98,4.2,27,58,59.12
126,medium,1020.48,112,5,225,1,0.03,2.75,817.32,4.2,14,57,74.11
127,medium,1077.86,100,5,260,4,0.03,1.97,818.22,4.2,10,57,73.0
128,medium,1080.49,115,5,295,4,0.03,2.8,823.58,4.22,5,56,68.7
129,medium,1096.68,96,5,270,5,0.03,2.21,829.3,4.24,2,53,72.92
130,medium,843.67,83,5,125,0,0.03,2.11,832.7,4.26,6,42,73.49
131,medium,1059.72,108,5,240,4,0.03,2.37,837.85,4.28,4,54,71.3
132,medium,1090.54,88,5,275,6,0.03,2.2,842.6,4.3,4,55,73.86
133,medium,1018.75,84,5,220,1,0.03,2.05,847.58,4.32,2,48,76.19
134,medium,998.3,100,5,225,1,0.03,2.08,852.09,4.34,10,51,68.0
135,medium,1027.09,142,5,245,3,0.03,3.35,855.7,4.36,10,58,64.08
136,medium,1021.18,95,5,235,2,0.03,2.26,860.79,4.38,5,53,71.58
137,medium,1090.79,98,5,255,6,0.03,2.93,868.87,4.41,4,55,72.45
138,medium,1063.16,94,5,255,3,0.03,2.59,868.8,4.41,6,57,73.4
139,medium,1006.03,105,5,225,2,0.03,3.41,873.82,4.43,9,53,70.48
140,medium,1077.21,106,5,280,3,0.03,2.46,877.93,4.44,8,61,70.75
141,medium,1065.99,92,5,260,6,0.03,1.94,884.42,4.46,4,49,73.91
142,medium,1109.3,110,5,260,3,0.03,3.24,887.37,4.46,4,59,71.82
143,medium,1083.79,132,5,265,3,0.03,3.23,892.54,4.48,8,62,66.67
144,medium,1125.92,115,5,275,5,0.03,2.44,898.65,4.5,5,58,67.83
145,medium,1014.6,122,5,230,1,0.03,2.86,904.43,4.52,28,56,77.05
146,medium,487.55,40,3,95,0,0.03,1.06,899.8,4.5,0,24,67.5
147,medium,1026.58,105,5,235,1,0.03,2.72,900.27,4.5,7,54,69.52
148,medium,914.75,103,5,125,0,0.03,2.15,899.18,4.5,7,54,66.99
149,medium,937.8,113,5,110,0,0.03,2.6,903.16,4.52,11,59,66.37
150,medium,1110.75,99,5,290,6,0.03,2.3,909.3,4.54,5,50,72.73
151,medium,510.08,49,3,80,0,0.03,1.51,907.71,4.53,5,26,73.47
152,medium,1108.61,135,5,280,5,0.03,2.79,911.14,4.53,9,61,63.7
153,medium,1116.75,100,5,275,6,0.03,2.27,919.76,4.56,2,55,72.0
154,medium,355.99,34,2,15,0,0.03,0.86,911.84,4.53,2,22,61.76
155,medium,726.54,110,4,100,0,0.03,3.01,908.44,4.52,21,39,68.18
156,medium,1071.97,109,5,250,1,0.03,2.4,908.82,4.52,7,65,69.72
157,medium,1064.32,82,5,280,4,0.03,1.72,913.25,4.54,2,51,78.05
158,medium,912.17,237,5,125,0,0.03,5.68,917.34,4.56,52,67,51.05
159,medium,1048.51,107,5,255,3,0.03,2.84,917.88,4.56,9,49,70.09
160,medium,1141.26,171,5,250,2,0.03,5.08,920.81,4.56,9,68,61.99
161,medium,1036.73,107,5,265,3,0.03,3.59,921.11,4.56,3,55,70.09
162,medium,540.53,51,3,100,0,0.03,2.17,926.96,4.59,1,30,72.55
163,medium,1090.67,101,5,255,4,0.03,2.57,932.62,4.61,3,55,71.29
164,medium,1049.8,87,5,270,6,0.03,2.11,940.48,4.64,3,45,75.86
165,medium,1060.77,111,5,260,3,0.03,3.2,940.4,4.64,9,62,67.57
166,medium,1092.46,88,5,280,5,0.03,2.65,940.7,4.64,8,56,72.73
167,medium,1052.97,101,5,240,1,0.03,2.46,940.76,4.64,7,58,69.31
168,medium,539.48,51,3,100,0,0.03,1.59,935.32,4.62,2,32,72.55
169,medium,1072.69,99,5,260,4,0.03,2.34,941.69,4.64,11,56,75.76
170,medium,1090.71,173,5,255,4,0.03,4.39,947.82,4.66,19,62,58.38
171,medium,536.81,55,3,50,0,0.03,1.38,943.59,4.64,1,35,70.91
172,medium,1010.46,411,5,100,0,0.03,9.9,943.15,4.64,60,87,52.07
173,medium,536.42,52,3,75,0,0.03,1.04,938.55,4.62,8,31,78.85
174,medium,482.24,42,3,65,0,0.03,0.93,938.43,4.62,3,28,78.57
175,medium,1022.77,89,5,290,1,0.03,2.2,943.07,4.64,7,52,73.03
176,medium,1068.22,96,5,260,2,0.03,2.72,942.53,4.64,6,55,71.88
177,medium,1037.91,167,5,250,2,0.03,3.76,942.28,4.64,21,65,59.28
178,medium,1099.36,90,5,290,5,0.03,2.0,943.05,4.64,4,52,74.44
179,medium,1024.0,110,5,250,2,0.03,2.93,943.01,4.64,4,53,69.09
180,medium,973.77,166,5,295,2,0.03,4.14,942.1,4.64,80,50,57.23
181,medium,1007.9,127,5,265,1,0.03,5.55,941.6,4.64,19,57,66.93
182,medium,886.92,78,5,150,0,0.03,3.15,941.23,4.64,2,49,74.36
183,medium,1075.7,94,5,280,5,0.03,3.22,941.86,4.64,6,46,72.34
184,medium,1061.5,96,5,270,3,0.03,2.49,943.56,4.64,6,53,70.83
185,medium,1056.04,130,5,240,3,0.03,4.1,943.78,4.64,4,56,66.92
186,medium,983.4,99,5,275,1,0.03,2.23,943.09,4.64,17,58,67.68
187,medium,1042.84,103,5,270,3,0.03,2.35,944.39,4.64,7,53,71.84
188,medium,1078.61,89,5,260,5,0.03,2.29,944.84,4.64,1,47,75.28
189,medium,1041.42,86,5,245,3,0.03,2.88,944.5,4.64,4,48,76.74
190,medium,1011.82,113,5,205,1,0.03,2.42,950.34,4.66,9,56,67.26
191,medium,715.7,71,4,60,0,0.03,1.66,947.3,4.65,4,35,73.24
192,medium,1037.37,111,5,250,1,0.03,2.67,947.18,4.65,11,54,66.67
193,medium,726.36,64,4,115,0,0.03,1.92,949.0,4.66,3,37,71.88
194,medium,1057.52,85,5,275,4,0.03,2.25,949.46,4.66,7,55,75.29
195,medium,500.95,43,3,85,0,0.03,0.98,950.28,4.66,0,30,69.77
196,medium,1094.72,117,5,240,3,0.03,3.16,951.6,4.66,5,56,67.52
197,medium,1067.53,101,5,260,5,0.03,2.47,952.19,4.66,9,51,69.31
198,medium,990.47,84,5,245,1,0.03,1.83,951.61,4.66,6,50,76.19
199,medium,1022.92,94,5,285,3,0.03,2.35,957.61,4.68,12,51,68.09
200,medium,1038.71,68,5,255,3,0.03,1.7,957.42,4.68,0,41,83.82
201,medium,1063.87,93,5,275,5,0.03,2.18,957.99,4.68,3,47,73.12
202,medium,437.24,22,3,105,0,0.03,0.52,952.14,4.66,0,17,81.82
203,medium,1073.35,105,5,240,2,0.03,1.98,952.2,4.66,5,59,71.43
204,medium,858.73,76,5,150,0,0.03,2.54,951.57,4.66,5,40,76.32
205,medium,994.46,113,5,250,2,0.03,3.41,952.35,4.66,13,57,64.6
206,medium,1094.8,94,5,275,5,0.03,2.86,952.9,4.66,8,55,75.53
